datetime,open,high,low,close,volume,adj_price
1991/9/16,102.875,104.375,102.875,103.625,7364400,17.664124
1991/9/17,103.375,104.875,103.25,104.875,5577200,17.877202
1991/9/18,104.5,105.5,104.5,105.375,5658400,17.962433
1991/9/19,105.375,106.375,104.75,104.875,6975200,17.877202
1991/9/20,104.875,105.125,104,104.25,7539200,17.770663
1991/9/23,104.25,104.625,104.125,104.625,3130400,17.834586
1991/9/24,104.875,105.875,104.125,105.875,5996800,18.047664
1991/9/25,105.625,105.75,104.75,105,3209200,17.89851
1991/9/26,104.5,105.75,104.25,104.875,3786800,17.877202
1991/9/27,104.625,105.375,102,102.25,6364400,17.429739
1991/9/30,102.375,104.25,101.25,103.625,4936400,17.664124
1991/10/1,103.625,103.75,102.5,102.625,2809200,17.493662
1991/10/2,102.5,102.5,100.75,101.125,4178800,17.237969
1991/10/3,100.875,101,99,99,5180000,16.875738
1991/10/4,99.125,99.625,98.125,98.25,5280800,16.747891
1991/10/7,98.375,99.375,98.25,98.875,5110400,16.85443
1991/10/8,99.125,99.375,97.625,98,5755200,16.705276
1991/10/9,97.75,98.25,96.75,97.25,7638000,16.577429
